Certificate,Parent (Usable TLS),Parent (Active TLS),Parent (Test TLS),Parent (Usable BIMI)
0002F8004BCF2A13CF51DD9BF2E4C68A84FD9CBF33E30482FFCF2A8C5AB0AA57,4DBD93C9C8601CB644A8A8830CCDABB368E781EAE48CFD1FF53ECC45F5363981,4DBD93C9C8601CB644A8A8830CCDABB368E781EAE48CFD1FF53ECC45F5363981,,
000555CDCF3B5FAAC807B975BF2EB722B77876C797385AEC00A8767DAABA900F,,,,
001279B949DD8670F1AE6DA407913B726F61AEF78A2FF19C2DA39522B31DC0C7,,,,
001686CD181F83A1B1217D305B365C41E3470A78A1D37B134A98CD547B92DAB3,,,,
00176CD8356F2F492DD04A893001C6EF610B1EBCBB13C61FDFC3B705463A07CC,8460CCAEA91B0E805AB51C7CD46DDF2E8C1C494806D88B1FE2ED313D1D487E2E,8460CCAEA91B0E805AB51C7CD46DDF2E8C1C494806D88B1FE2ED313D1D487E2E,8460CCAEA91B0E805AB51C7CD46DDF2E8C1C494806D88B1FE2ED313D1D487E2E,
001D78BF40A4DAF94CD564B4219455837B0056D3216B2BB8FF791966B41B136E,,,,
0020D198028D12C73A2872376E24FBD73A39E39BF09338AC3B6495DD785DF678,,,,
002393FA0A6825F77EF686E208620B97177791F02F07DB2518480FBE37CE7BD8,,,,
0027C852E6A0A74EAD844B5FAC2434CC24966853C84CE63212468881B616665D,,,,
002E6D642C2EE639B40FBED1020EE7BEEDF2E521F9B2BDE46C958D32E6353E9D,9E852C59DFC6FD6ABD4E17EA80B5F4E56FC04192D107258D54DA8A92528670D6,9E852C59DFC6FD6ABD4E17EA80B5F4E56FC04192D107258D54DA8A92528670D6,9E852C59DFC6FD6ABD4E17EA80B5F4E56FC04192D107258D54DA8A92528670D6,
002E86394B246C191C4F9304F821B11033D7E0A75E81CF39F266AE4768998271,,,,
0030073BA908DC7AFB7974045DC36EAFB628D3FD586EE6AE67B43B2D5791EDA1,,,,
0030C68C53FC05237FCC7AB6017D81FEBBA06315526C57F7E72907C87B982B61,A464F08ADF91CF49100C6FDAE5D86601AE2917B56F09DC6C2EC79AC2F40B3651,A464F08ADF91CF49100C6FDAE5D86601AE2917B56F09DC6C2EC79AC2F40B3651,,
0032295B0B9CB38A775AF5EC01ADBD2D3989200D8B7F5C7333CD1C061F882E32,9B25A6A7BD51BC5F5C4F06E0D1218FD370DD31FAFD5CD3B627C82F202F1B4657,9B25A6A7BD51BC5F5C4F06E0D1218FD370DD31FAFD5CD3B627C82F202F1B4657,9B25A6A7BD51BC5F5C4F06E0D1218FD370DD31FAFD5CD3B627C82F202F1B4657,
00390AE5DAEB1A08755906AA4E5C455FF7DBC6EB1677C23905B6A063D3BE6B65,,,,
003F71DC4820216575FC5AACFE3B1AEB76F72AEA5B8E8FCEFC80B9F517A4A612,,,,
00482341B104A0DE6E0F1D508DB84CB514F7494FE04982133A5C750136C55DC8,,,,
00517E8B0D545362FF61C986C9B316280A8154851DC4676A49191DDD1C7E5BA6,118262C2088EE1528E20D836D2070854707C0D8F8E80FBE396F9ECD4B9141B5B,118262C2088EE1528E20D836D2070854707C0D8F8E80FBE396F9ECD4B9141B5B,118262C2088EE1528E20D836D2070854707C0D8F8E80FBE396F9ECD4B9141B5B,
0051C98924F239BD49AB8C8F6802F8B9CF4AD41EB3272F1A34C0CD6D61DCB3D4,DA5462526A0C2E9852A86186B025390158759CDCA6AE21F09F713CA6ACCDD1F1,DA5462526A0C2E9852A86186B025390158759CDCA6AE21F09F713CA6ACCDD1F1,DA5462526A0C2E9852A86186B025390158759CDCA6AE21F09F713CA6ACCDD1F1,
0054DD53C74523CD542979850828F0F3CD18228687D4ED4AE345B5FEADE1FC9C,,,,
0059C30A64B18C372D316EB373C4D687091ED202C4499AB8C1D5D3D0F12F1689,,,,
007108194115F3C899F54EE67CB4DA87275EDC1D6798DA787E0758CFA6AE96B1,,,,
00712AC5314A938E0D6188AE8D4C3566AE6C6AE9EB006FBAA5DE4239AF4427A5,,,,
007182136C03682D9B05D699ED6ED4FB78208B98F416FDE2AA03F59421998EF5,E54131F139FC23C29C9BD3222E1AE71156194CADD281722DDE6130397978E861,E54131F139FC23C29C9BD3222E1AE71156194CADD281722DDE6130397978E861,E54131F139FC23C29C9BD3222E1AE71156194CADD281722DDE6130397978E861,
007D2C8B15786232BAC0EAA31F60AAE06DC572921BAD0D46C77107D8C2DCA4B3,,,,
007E452FD5CF838946696DFE37A2DB2EF3991436D27BCBAB45922053C15A87A8,,,,
0081C4E7D8FD3FCF1FE8917C23EFCD93674F85F13615D6CB2C3546533BF59180,,,,
00878FD47459C4ADB75AF53FB2C25929776B33469E2EC967DF500CB879624BA8,FFE930442DFEB69CE29A908B6A639B370BD6BA6075F931AB83561D938B453A21,FFE930442DFEB69CE29A908B6A639B370BD6BA6075F931AB83561D938B453A21,FFE930442DFEB69CE29A908B6A639B370BD6BA6075F931AB83561D938B453A21,
009627A7D92E494AF593C408AC1E97958CB2D359EE4540E1D78418835336D309,EB5C74FD2D93F6E51D928C763F2AF7BF55368BC185B7B9091A8B4185D48CD4C6,EB5C74FD2D93F6E51D928C763F2AF7BF55368BC185B7B9091A8B4185D48CD4C6,,
0097E2DA5567850EE14E2B35139C8E60E3352CEB5397FFD5FAF9CB60A22AB13D,,,,
009871C3A4C607311E5AE92F01095F9BF76100B8794AB0A9A5210E6794C8607C,,,,
00A9EEB3FADDFE7BAA9CB4FBB0A324AAA489F52EB43B43643047C6BE1441C5C6,,,,
00AB444ABD6BDBA33DA8DE569AC4ECDE326D1BE1A61442D5EEC3975A0C243F04,,,,
00BEAEF280277E38999D3C60B27736E8F21E782C3D4B444AC34D465A7AB287C5,,,,
00BFE5177DA40E040506A04417FB4B8064816B5D875852A07FC3A36700091080,D9AE5ED27C9C6485296C89A29D222F4AB2BC7EECA51ECC8D2D7A23FE9C1151DA,D9AE5ED27C9C6485296C89A29D222F4AB2BC7EECA51ECC8D2D7A23FE9C1151DA,D9AE5ED27C9C6485296C89A29D222F4AB2BC7EECA51ECC8D2D7A23FE9C1151DA,
00C0CBA95CBFE1E270814275F32B505D6E5916C2B6DA67FAF4DD309EE6E86CBE,,,,
00C367A774B7CE9A0F791342383F865F2AF6CD37674B85167E6F239E313D60BB,,,,
00C5A1BC2526395793EC34A135E30F246F6295583D1B8E6B924CBA9099730235,4DBD93C9C8601CB644A8A8830CCDABB368E781EAE48CFD1FF53ECC45F5363981,4DBD93C9C8601CB644A8A8830CCDABB368E781EAE48CFD1FF53ECC45F5363981,,
00CAB8B36C561CC20B6FF594DF3DA7B29472C7DFF8104B6EC6466E90EADF84B8,,,,
00DB86A7087A750CE07B3255D0D3129E888CA9E0EECACF9E72BDB276B17147EF,,,,
00DCF6E020AB926D1623F73198185788265C43566AD09228F314ED64E8344AAF,,,,
00E22A57283CF595F6179B3AFD0BDE20E6198238CF9714771BD4128B3FFFCECC,,,,
00EF6712B99A6153C980C9D12E2EA0980D40673F927B5CD4BECE398E8E0AE662,,,,
00F12C1ECFE26D34A28FC6BF9FB35085302C7D53A9AC3588ED7CD86C9C7423AA,,,,
00FB6E11A84FC8424A4341304F9ECD3EDC30D80894E0FD7B22903B911EC4EE24,4DBD93C9C8601CB644A8A8830CCDABB368E781EAE48CFD1FF53ECC45F5363981,4DBD93C9C8601CB644A8A8830CCDABB368E781EAE48CFD1FF53ECC45F5363981,,
010A1032A41F95A82CC5A4ABB0988099B179A9AFB392EB1038E953BB1C5F7813,F75A4D49A52B043FC7324B8F263AC8A9B7BD22A328868588BDFC937D3C396EB6,F75A4D49A52B043FC7324B8F263AC8A9B7BD22A328868588BDFC937D3C396EB6,F75A4D49A52B043FC7324B8F263AC8A9B7BD22A328868588BDFC937D3C396EB6,
010D566ADCA6D455A27DE9BB9CEC7FEE3345D08CDC8C98BE818F88EAD1B68B5F,,,,
011055D4857FD901038EBA1D0F0364082BD3F78C690B0C770BF944BC264B7EB0,,,,
0116F17F97CDEF4ADE2E63CF2C1B064FD99F404D2B914100BC241F0781853323,,,,
011B074C1D1D22A927406597AB4E5114F5C045612EC98CC429A1A93E1986E6F6,,,,
0121BCF18EB457CDF106249A19748028D9391B5784418F5C444E3701205D68B0,,,,
012240478DE9D44555947BB1A8FF5BC0E9AC272FC094C0A87172EE9C1A9CE086,,,,
012BB72AAA11068FC84E276CA1D41E0D67D546B204F53C417EAF471047F67460,,,,
012E7FA627D3AB6ED00496A8BD3C7A35B7A195ABE13E45D95363FA85ACF245C4,,,,
01379EB7B85F68EDC2465B42438097687EBE1EAE49319639BFB342EFC3CEFA1D,,,,
013932465EE4FC2448D0C9AEEEA049DE9063AF5E773E8A501AB626F0957E1345,,,,
013A5399CF6E0E8B8CA44AC1BFE11736EC2755C091E9E6F16FE7624F56FF7FC1,4DBD93C9C8601CB644A8A8830CCDABB368E781EAE48CFD1FF53ECC45F5363981,4DBD93C9C8601CB644A8A8830CCDABB368E781EAE48CFD1FF53ECC45F5363981,,
013C13426B92F703BA573D9E16C2E35AECA26C60F606B88D3CE2150C94D56C14,5268C94573AF66BA5A3DE979F2048DE43BD4B68AF0B73A2D639159FAFE637F69,5268C94573AF66BA5A3DE979F2048DE43BD4B68AF0B73A2D639159FAFE637F69,5268C94573AF66BA5A3DE979F2048DE43BD4B68AF0B73A2D639159FAFE637F69,
01453F645CD91E233B7484827F23F8A573FD641029EA8A6BFE549EF4ED8B323D,,,,
0150B74BC31E4BDC0C885092999755EA9D170E235807C8B2F0A077396F4572D6,,,,
0152F86354FCA9525B280C233F7DA6CF8B5F2373C42644723226AE67238DB190,,,,
01573D7ABE1FE69D73DF11E2469A0849FE75EF4F33D95DD0512AB1DC2C70C0F6,,,,
015D3761C644ECCF05D21AC1420F308C9073679D7039CBD528329DE8F4E12A99,,,,
0164CBAD580367435DAB104F3780D107455B74CF849F956B28496C5CCCB8EBA2,BC386A5C664B6B0B5E385FAC151AA3911606178359DED68AE5017DE985E78B94,BC386A5C664B6B0B5E385FAC151AA3911606178359DED68AE5017DE985E78B94,BC386A5C664B6B0B5E385FAC151AA3911606178359DED68AE5017DE985E78B94,
0164D7CEAE5BB909C272AF151FF44B1177AE9B47D9424B94F1D9558C30934D19,3094025792039A68AF6E553686410BDAB7C0D4A36B9084CBA64202E35D6EBBDD,3094025792039A68AF6E553686410BDAB7C0D4A36B9084CBA64202E35D6EBBDD,,
01682DA2E6A878468D0A4777162AEBE3233DC6935B066F71F486D5672375E1F1,,,,
016CB2A68F7B7D96311306DB9648FA798C2C40BE1574AD12891549C99F41082E,DDCD1E8A20638D4AAFF7201BB1D56452ACD2C759F1686BDC38F73DD15732BDC2,DDCD1E8A20638D4AAFF7201BB1D56452ACD2C759F1686BDC38F73DD15732BDC2,DDCD1E8A20638D4AAFF7201BB1D56452ACD2C759F1686BDC38F73DD15732BDC2,
016D208E7BF0F72608A35394CB1C783016498780270A8871A8E9442C6A6B9CB5,,,,
016E1DCD5F78841BBEBBAE9DDEA08C8D7EC54E698E95BB778ECDD1E10D8BF4F9,,,,
017C1E0FF3AB56191FA41F9D6A92A4781C1ED96424361CC7717898F92D769280,4DBD93C9C8601CB644A8A8830CCDABB368E781EAE48CFD1FF53ECC45F5363981,4DBD93C9C8601CB644A8A8830CCDABB368E781EAE48CFD1FF53ECC45F5363981,,
