Authority Key Identifier,Parent (Usable TLS),Parent (Active TLS),Parent (Test TLS),Parent (Usable BIMI)
0003FF05ACB4F2B0D790CD9ADF2303324602EE72,,B2B0F2FB322629A38FA060FDA7214EF608D347DEAE7AF7045059D5B9DCA1147D,,
001141DF3B9D3BCBB8A2C13392A881CCE57DE799,C8219D7A4BA55483A2D71BA5F5401D43247C05188DC894EC3B8C2F252BDB2AB7,C8219D7A4BA55483A2D71BA5F5401D43247C05188DC894EC3B8C2F252BDB2AB7,,
001EC834501E53ED1C2062BCE275A2B0CB50DC86,035250381A210A3142AB058B5FB4732F8B0EC52B2758A60304FC43A14B57F784,035250381A210A3142AB058B5FB4732F8B0EC52B2758A60304FC43A14B57F784,035250381A210A3142AB058B5FB4732F8B0EC52B2758A60304FC43A14B57F784,
0029369E5C7ABA0FAF2D502DDBA0238518B0A092,36D7314848ACCB3E4C5792D1B07120B1035BFB8B67E6600952D6745F5D6E22BD,36D7314848ACCB3E4C5792D1B07120B1035BFB8B67E6600952D6745F5D6E22BD,36D7314848ACCB3E4C5792D1B07120B1035BFB8B67E6600952D6745F5D6E22BD,
003416EAEC6A29606D4171793AE29F63B61AE9FA,1F9D2D44E84DC190F0A9A6DBB44D75C6FDDBAB1C82985D09A6D9866BF746758B,1F9D2D44E84DC190F0A9A6DBB44D75C6FDDBAB1C82985D09A6D9866BF746758B,1F9D2D44E84DC190F0A9A6DBB44D75C6FDDBAB1C82985D09A6D9866BF746758B,
0034A7AFFC43D67B1763950CD795E0D788AFF855,34263E9424D819B94BCFA87E69DD9EF43205D4E2DE84A53497314063D822969B,34263E9424D819B94BCFA87E69DD9EF43205D4E2DE84A53497314063D822969B,34263E9424D819B94BCFA87E69DD9EF43205D4E2DE84A53497314063D822969B,
00381CB317E99AE187FBBD7C646B9B6B35AC1299,7FD28377C87C898E9094C93EA00BF107ABE11DB80B3D85E2B4A662697681235B,7FD28377C87C898E9094C93EA00BF107ABE11DB80B3D85E2B4A662697681235B,7FD28377C87C898E9094C93EA00BF107ABE11DB80B3D85E2B4A662697681235B,
004434971C1F2B99268D16A71D606895ED9A97AE,ACBFAEBDCBCE1AC84C98CF24140B6061A97318E926215409DC0CF4C7BE506620,ACBFAEBDCBCE1AC84C98CF24140B6061A97318E926215409DC0CF4C7BE506620,ACBFAEBDCBCE1AC84C98CF24140B6061A97318E926215409DC0CF4C7BE506620,
004B1F91810E0B43CE0473BB969B821D6663AD3C,C131499FD86B213DB5DEFAAFD53111C28A2DDAF4BA465C8265A72D6CF739B668,C131499FD86B213DB5DEFAAFD53111C28A2DDAF4BA465C8265A72D6CF739B668,,
004EA8672719530364D2423C468846FD32DFFB21,D7D4708D131EEDC75562FD6EA56ADCF43A8D9465B7BDB0C4C4ED59FE243F0F0C,D7D4708D131EEDC75562FD6EA56ADCF43A8D9465B7BDB0C4C4ED59FE243F0F0C,,
0059CDA0BBD292F0BEEE6F528BA9CE3774C12048,9A6962CD8C21B5DCF1F70B39A836C7F397EC495F880BE9B9B69B8B27288ECB14,9A6962CD8C21B5DCF1F70B39A836C7F397EC495F880BE9B9B69B8B27288ECB14,9A6962CD8C21B5DCF1F70B39A836C7F397EC495F880BE9B9B69B8B27288ECB14,
00716BD40D116C1478B349258C0FF77EDDA0F16B,FEEA2389D4F7272B024F51AF71E8FE84AA543698D015C1D241793595D6209FB9,FEEA2389D4F7272B024F51AF71E8FE84AA543698D015C1D241793595D6209FB9,FEEA2389D4F7272B024F51AF71E8FE84AA543698D015C1D241793595D6209FB9,
